Date	Price	Open	High	Low	Vol.	Change %
03/25/2016	4.113	4.1067	4.1185	4.103		0.10%
03/24/2016	4.1087	4.1181	4.1531	4.0989		-0.32%
03/23/2016	4.1218	4.0153	4.1234	3.9975		2.61%
03/22/2016	4.017	4.0646	4.0987	4.0051		-1.22%
03/21/2016	4.0667	4.0835	4.1135	4.044		-0.43%
03/18/2016	4.0842	4.103	4.1468	4.0218		-0.51%
03/17/2016	4.1051	4.1986	4.2402	4.0757		-2.27%
03/16/2016	4.2006	4.1808	4.2652	4.1698		0.42%
03/15/2016	4.1832	4.0628	4.1992	4.0514		2.86%
03/14/2016	4.0669	3.9912	4.0683	3.9698		1.72%
03-11-16	3.9982	4.05	4.0724	3.9908		-1.38%
03-10-16	4.0542	4.0581	4.1234	3.9435		-0.13%
03-09-16	4.0593	4.1303	4.1386	4.04		-1.77%
03-08-16	4.1324	4.1642	4.1997	4.1053		-0.82%
03-07-16	4.1666	4.1352	4.1854	4.0937		0.72%
03-04-16	4.1367	4.1603	4.1756	3.9856		-0.64%
03-03-16	4.1632	4.2307	4.2412	4.1383		-1.60%
03-02-16	4.2311	4.266	4.2804	4.2074		-0.86%
03-01-16	4.268	4.365	4.3773	4.2641		-2.28%
02/29/2016	4.3678	4.3638	4.3813	4.2972		0.04%
02/26/2016	4.3662	4.3567	4.3932	4.313		0.12%
02/25/2016	4.3609	4.3577	4.3825	4.3097		0.02%
02/24/2016	4.3601	4.3577	4.42	4.3308		-0.01%
02/23/2016	4.3607	4.3514	4.3936	4.3283		0.17%
02/22/2016	4.3532	4.4728	4.4787	4.3283		-2.78%
02/19/2016	4.4776	4.4719	4.5199	4.4588		0.07%
02/18/2016	4.4743	4.4322	4.5059	4.4155		0.90%
02/17/2016	4.4346	4.5353	4.5489	4.417		-2.28%
02/16/2016	4.5382	4.4658	4.5463	4.4524		1.56%
02/15/2016	4.4687	4.5027	4.5061	4.4412		-0.85%
02-12-16	4.5072	4.5222	4.526	4.4473		-0.36%
02-11-16	4.5235	4.4332	4.5578	4.423		1.99%
02-10-16	4.4353	4.3855	4.4393	4.359		1.08%
02-09-16	4.388	4.3592	4.4091	4.3463		0.60%
02-08-16	4.3619	4.3534	4.3727	4.3184		0.14%
02-05-16	4.3559	4.3571	4.4021	4.3205		-0.08%
02-04-16	4.3596	4.323	4.3828	4.2974		0.79%
02-03-16	4.3255	4.3533	4.4037	4.3077		-0.70%
02-02-16	4.3561	4.3132	4.3953	4.3108		0.95%
02-01-16	4.315	4.3299	4.3814	4.2967		-0.42%
01/29/2016	4.3333	4.4492	4.4727	4.3214		-2.67%
01/28/2016	4.452	4.4712	4.4985	4.3997		-0.51%
01/27/2016	4.4746	4.4042	4.4867	4.378		1.54%
01/26/2016	4.4069	4.4351	4.4683	4.3901		-0.69%
01/25/2016	4.4375	4.4192	4.4425	4.4151		0.38%
01/22/2016	4.4208	4.518	4.5235	4.4143		-2.21%
01/21/2016	4.5208	4.4605	4.5521	4.4547		1.32%
01/20/2016	4.4621	4.4298	4.5163	4.4261		0.69%
01/19/2016	4.4317	4.4146	4.4454	4.3427		0.32%
01/18/2016	4.4177	4.4175	4.4287	4.3734		-0.03%
01/15/2016	4.4191	4.3431	4.4634	4.3427		1.69%
01/14/2016	4.3457	4.3668	4.4223	4.3255		-0.51%
01/13/2016	4.368	4.3714	4.382	4.2994		-0.15%
01-12-16	4.3747	4.3991	4.4194	4.3561		-0.63%
01-11-16	4.4024	4.3958	4.4227	4.3523		0.07%
01-08-16	4.3994	4.4197	4.4238	4.3292		-0.54%
01-07-16	4.4231	4.3359	4.4261	4.3326		1.95%
01-06-16	4.3387	4.3051	4.3579	4.2982		0.72%
01-05-16	4.3075	4.3735	4.3808	4.2799		-1.57%
01-04-16	4.3761	4.2982	4.4356	4.2859		1.74%
01-01-16	4.3014	4.2998	4.305	4.2931		-0.01%
12/31/2015	4.3017	4.3283	4.3322	4.2958		-0.66%
12/30/2015	4.3301	4.2187	4.3888	4.2075		2.60%
12/29/2015	4.2202	4.2301	4.2541	4.1887		-0.28%
12/28/2015	4.2321	4.32	4.3575	4.2291		-2.30%
12/25/2015	4.3318	4.3344	4.3377	4.3188		-0.10%
12/24/2015	4.3362	4.2986	4.3362	4.2872		0.83%
12/23/2015	4.3004	4.3689	4.3721	4.2963		-1.61%
12/22/2015	4.3708	4.3782	4.4055	4.3443		-0.22%
12/21/2015	4.3804	4.325	4.4108	4.3033		1.21%
12/18/2015	4.328	4.198	4.3324	4.1895		3.05%
12/17/2015	4.1998	4.2382	4.2511	4.1794		-0.93%
12/16/2015	4.2393	4.2319	4.335	4.228		0.17%
12/15/2015	4.2323	4.2606	4.2882	4.22		-0.71%
12/14/2015	4.2626	4.2516	4.3154	4.2223		0.15%
12-11-15	4.2562	4.1693	4.2904	4.1597		2.04%
12-10-15	4.1711	4.1333	4.1742	4.0886		0.88%
12-09-15	4.1348	4.1317	4.1785	4.0749		-0.01%
12-08-15	4.1354	4.0811	4.1628	4.0596		1.29%
12-07-15	4.0829	4.0846	4.1017	4.0307		-0.04%
12-04-15	4.0847	4.1106	4.126	4.0462		-0.66%
12-03-15	4.112	4.0678	4.1383	4.0052		1.01%
12-02-15	4.071	4.0985	4.1084	4.0542		-0.73%
12-01-15	4.1011	4.0864	4.1406	4.0588		0.34%
11/30/2015	4.0874	4.0713	4.1444	4.0528		0.32%
11/27/2015	4.0745	3.9698	4.0782	3.9303		2.59%
11/26/2015	3.9715	3.9752	4.0034	3.9601		-0.14%
11/25/2015	3.9769	3.9356	4.0276	3.913		1.01%
11/24/2015	3.9371	3.9677	3.9903	3.9268		-0.84%
11/23/2015	3.9705	3.9426	3.9762	3.9275		0.66%
11/20/2015	3.9446	3.9887	4.0446	3.94		-1.16%
11/19/2015	3.991	4.0119	4.0414	3.9792		-0.60%
11/18/2015	4.0152	4.0524	4.076	4.0042		-1.01%
11/17/2015	4.0561	4.0816	4.0971	4.0355		-0.62%
11/16/2015	4.0816	4.1318	4.1443	4.0701		-1.54%
11/13/2015	4.1454	4.0773	4.1457	4.0529		1.62%
11-12-15	4.0793	4.0419	4.1117	4.0084		0.88%
11-11-15	4.0439	4.0219	4.0673	3.9751		0.54%
11-10-15	4.0223	4.0833	4.1013	3.996		-1.50%
11-09-15	4.0837	4.045	4.0992	4.0247		0.81%
11-06-15	4.0507	4.1128	4.1517	4.0263		-1.58%
11-05-15	4.1156	4.1277	4.148	4.0918		-0.34%
